PUBLICATION DATE,FISCAL_YEAR,TAX_NAME,AMOUNT
20200416,2001,Cigarette Tax,28
20200416,2002,Cigarette Tax,27
20200416,2003,Cigarette Tax,158
20200416,2004,Cigarette Tax,138
20200416,2005,Cigarette Tax,125
20200416,2006,Cigarette Tax,123
20200416,2007,Cigarette Tax,122
20200416,2008,Cigarette Tax,123
20200416,2009,Cigarette Tax,96
20200416,2010,Cigarette Tax,94
20200416,2011,Cigarette Tax,69
20200416,2012,Cigarette Tax,67
20200416,2013,Cigarette Tax,61
20200416,2014,Cigarette Tax,54
20200416,2015,Cigarette Tax,50
20200416,2016,Cigarette Tax,45
20200416,2017,Cigarette Tax,37
20200416,2018,Cigarette Tax,36
20200416,2019,Cigarette Tax,29
20200416,2020,Cigarette Tax,25
20200416,2001,Real Property Tax,"8,156"
20200416,2002,Real Property Tax,"8,648"
20200416,2003,Real Property Tax,"9,943"
20200416,2004,Real Property Tax,"11,445"
20200416,2005,Real Property Tax,"11,464"
20200416,2006,Real Property Tax,"12,471"
20200416,2007,Real Property Tax,"12,958"
20200416,2008,Real Property Tax,"13,062"
20200416,2009,Real Property Tax,"14,338"
20200416,2010,Real Property Tax,"16,184"
20200416,2011,Real Property Tax,"16,868"
20200416,2012,Real Property Tax,"17,945"
20200416,2013,Real Property Tax,"18,751"
20200416,2014,Real Property Tax,"19,977"
20200416,2015,Real Property Tax,"21,317"
20200416,2016,Real Property Tax,"22,974"
20200416,2017,Real Property Tax,"24,475"
20200416,2018,Real Property Tax,"26,219"
20200416,2019,Real Property Tax,"27,703"
20200416,2020,Real Property Tax,"29,650"
20200416,2001,Commercial Rent Tax,377
20200416,2002,Commercial Rent Tax,380
20200416,2003,Commercial Rent Tax,397
20200416,2004,Commercial Rent Tax,426
20200416,2005,Commercial Rent Tax,445
20200416,2006,Commercial Rent Tax,477
20200416,2007,Commercial Rent Tax,512
20200416,2008,Commercial Rent Tax,545
20200416,2009,Commercial Rent Tax,583
20200416,2010,Commercial Rent Tax,594
20200416,2011,Commercial Rent Tax,601
20200416,2012,Commercial Rent Tax,630
20200416,2013,Commercial Rent Tax,664
20200416,2014,Commercial Rent Tax,710
20200416,2015,Commercial Rent Tax,735
20200416,2016,Commercial Rent Tax,779
20200416,2017,Commercial Rent Tax,816
20200416,2018,Commercial Rent Tax,853
20200416,2019,Commercial Rent Tax,907
20200416,2020,Commercial Rent Tax,864
20200416,2001,Real Property Transfer Tax,473
20200416,2002,Real Property Transfer Tax,425
20200416,2003,Real Property Transfer Tax,513
20200416,2004,Real Property Transfer Tax,767
20200416,2005,Real Property Transfer Tax,"1,055"
20200416,2006,Real Property Transfer Tax,"1,295"
20200416,2007,Real Property Transfer Tax,"1,723"
20200416,2008,Real Property Transfer Tax,"1,408"
20200416,2009,Real Property Transfer Tax,742
20200416,2010,Real Property Transfer Tax,615
20200416,2011,Real Property Transfer Tax,795
20200416,2012,Real Property Transfer Tax,912
20200416,2013,Real Property Transfer Tax,"1,086"
20200416,2014,Real Property Transfer Tax,"1,527"
20200416,2015,Real Property Transfer Tax,"1,765"
20200416,2016,Real Property Transfer Tax,"1,775"
20200416,2017,Real Property Transfer Tax,"1,415"
20200416,2018,Real Property Transfer Tax,"1,388"
20200416,2019,Real Property Transfer Tax,"1,547"
20200416,2020,Real Property Transfer Tax,"1,135"
20200416,2001,Mortgage Recording Tax,407
20200416,2002,Mortgage Recording Tax,477
20200416,2003,Mortgage Recording Tax,526
20200416,2004,Mortgage Recording Tax,817
20200416,2005,Mortgage Recording Tax,"1,250"
20200416,2006,Mortgage Recording Tax,"1,353"
20200416,2007,Mortgage Recording Tax,"1,570"
20200416,2008,Mortgage Recording Tax,"1,138"
20200416,2009,Mortgage Recording Tax,515
20200416,2010,Mortgage Recording Tax,366
20200416,2011,Mortgage Recording Tax,434
20200416,2012,Mortgage Recording Tax,537
20200416,2013,Mortgage Recording Tax,742
20200416,2014,Mortgage Recording Tax,961
20200416,2015,Mortgage Recording Tax,"1,155"
20200416,2016,Mortgage Recording Tax,"1,234"
