YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate
2010,2," 3,990,358 "," 3,590,594 "," 399,764 ", 10.0 
2010,3," 3,994,779 "," 3,598,336 "," 396,443 ", 9.9 
2010,4," 3,996,188 "," 3,603,964 "," 392,224 ", 9.8 
2010,5," 3,994,390 "," 3,607,200 "," 387,190 ", 9.7 
2010,6," 3,989,127 "," 3,607,156 "," 381,971 ", 9.6 
2010,7," 3,981,631 "," 3,604,179 "," 377,452 ", 9.5 
2010,8," 3,974,581 "," 3,600,583 "," 373,998 ", 9.4 
2010,9," 3,969,585 "," 3,597,978 "," 371,607 ", 9.4 
2010,10," 3,967,015 "," 3,597,685 "," 369,330 ", 9.3 
2010,11," 3,965,886 "," 3,599,745 "," 366,141 ", 9.2 
2010,12," 3,965,254 "," 3,603,171 "," 362,083 ", 9.1 
2011,1," 3,965,218 "," 3,607,068 "," 358,150 ", 9.0 
2011,2," 3,964,838 "," 3,609,777 "," 355,061 ", 9.0 
2011,3," 3,963,566 "," 3,610,427 "," 353,139 ", 8.9 
2011,4," 3,961,810 "," 3,609,046 "," 352,764 ", 8.9 
2011,5," 3,961,304 "," 3,606,954 "," 354,350 ", 8.9 
2011,6," 3,963,574 "," 3,606,012 "," 357,562 ", 9.0 
2011,7," 3,969,170 "," 3,607,595 "," 361,575 ", 9.1 
2011,8," 3,976,594 "," 3,610,814 "," 365,780 ", 9.2 
2011,9," 3,983,763 "," 3,614,116 "," 369,647 ", 9.3 
2011,10," 3,990,025 "," 3,616,646 "," 373,379 ", 9.4 
2011,11," 3,994,408 "," 3,617,683 "," 376,725 ", 9.4 
2011,12," 3,996,640 "," 3,617,463 "," 379,177 ", 9.5 
2012,1," 3,997,850 "," 3,617,028 "," 380,822 ", 9.5 
2012,2," 4,000,423 "," 3,618,134 "," 382,289 ", 9.6 
2012,3," 4,004,593 "," 3,620,502 "," 384,091 ", 9.6 
2012,4," 4,009,178 "," 3,623,612 "," 385,566 ", 9.6 
2012,5," 4,014,061 "," 3,628,211 "," 385,850 ", 9.6 
2012,6," 4,018,648 "," 3,634,283 "," 384,365 ", 9.6 
2012,7," 4,022,788 "," 3,641,679 "," 381,109 ", 9.5 
2012,8," 4,027,658 "," 3,650,267 "," 377,391 ", 9.4 
2012,9," 4,034,092 "," 3,659,522 "," 374,570 ", 9.3 
2012,10," 4,040,062 "," 3,667,327 "," 372,735 ", 9.2 
2012,11," 4,044,055 "," 3,672,533 "," 371,522 ", 9.2 
2012,12," 4,045,919 "," 3,675,466 "," 370,453 ", 9.2 
2013,1," 4,045,886 "," 3,676,776 "," 369,110 ", 9.1 
2013,2," 4,045,599 "," 3,678,376 "," 367,223 ", 9.1 
2013,3," 4,047,400 "," 3,682,548 "," 364,852 ", 9.0 
2013,4," 4,052,849 "," 3,690,072 "," 362,777 ", 9.0 
2013,5," 4,060,929 "," 3,698,921 "," 362,008 ", 8.9 
2013,6," 4,070,290 "," 3,707,583 "," 362,707 ", 8.9 
2013,7," 4,078,252 "," 3,714,662 "," 363,590 ", 8.9 
2013,8," 4,081,804 "," 3,719,839 "," 361,965 ", 8.9 
2013,9," 4,081,018 "," 3,724,442 "," 356,576 ", 8.7 
2013,10," 4,079,036 "," 3,730,124 "," 348,912 ", 8.6 
2013,11," 4,078,203 "," 3,737,594 "," 340,609 ", 8.4 
2013,12," 4,078,585 "," 3,745,978 "," 332,607 ", 8.2 
2014,1," 4,080,570 "," 3,755,435 "," 325,135 ", 8.0 
2014,2," 4,083,624 "," 3,765,329 "," 318,295 ", 7.8 
2014,3," 4,086,615 "," 3,774,372 "," 312,243 ", 7.6 
2014,4," 4,088,313 "," 3,782,023 "," 306,290 ", 7.5 
2014,5," 4,088,604 "," 3,789,417 "," 299,187 ", 7.3 
2014,6," 4,088,525 "," 3,797,541 "," 290,984 ", 7.1 
2014,7," 4,089,108 "," 3,806,182 "," 282,926 ", 6.9 
2014,8," 4,091,325 "," 3,815,153 "," 276,172 ", 6.8 
2014,9," 4,094,623 "," 3,823,550 "," 271,073 ", 6.6 
2014,10," 4,097,501 "," 3,830,840 "," 266,661 ", 6.5 
2014,11," 4,099,323 "," 3,836,889 "," 262,434 ", 6.4 
2014,12," 4,101,133 "," 3,842,353 "," 258,780 ", 6.3 
2015,1," 4,102,656 "," 3,847,113 "," 255,543 ", 6.2 
2015,2," 4,103,202 "," 3,851,046 "," 252,156 ", 6.1 
2015,3," 4,103,094 "," 3,855,298 "," 247,796 ", 6.0 
2015,4," 4,101,681 "," 3,859,543 "," 242,138 ", 5.9 
2015,5," 4,097,794 "," 3,862,609 "," 235,185 ", 5.7 
2015,6," 4,091,095 "," 3,863,788 "," 227,307 ", 5.6 
2015,7," 4,083,676 "," 3,863,955 "," 219,721 ", 5.4 
2015,8," 4,077,619 "," 3,863,668 "," 213,951 ", 5.2 
2015,9," 4,074,208 "," 3,863,725 "," 210,483 ", 5.2 
2015,10," 4,074,608 "," 3,865,040 "," 209,568 ", 5.1 
2015,11," 4,078,186 "," 3,867,407 "," 210,779 ", 5.2 
2015,12," 4,082,040 "," 3,869,753 "," 212,287 ", 5.2 
2016,1," 4,083,880 "," 3,871,169 "," 212,711 ", 5.2 
2016,2," 4,082,937 "," 3,871,026 "," 211,911 ", 5.2 
2016,3," 4,079,641 "," 3,869,320 "," 210,321 ", 5.2 
2016,4," 4,076,666 "," 3,867,577 "," 209,089 ", 5.1 
2016,5," 4,076,588 "," 3,867,127 "," 209,461 ", 5.1 
2016,6," 4,079,683 "," 3,868,262 "," 211,421 ", 5.2 
2016,7," 4,084,913 "," 3,871,190 "," 213,723 ", 5.2 
2016,8," 4,091,011 "," 3,875,960 "," 215,051 ", 5.3 
2016,9," 4,096,603 "," 3,881,935 "," 214,668 ", 5.2 
2016,10," 4,100,450 "," 3,888,678 "," 211,772 ", 5.2 
2016,11," 4,102,813 "," 3,896,596 "," 206,217 ", 5.0 
2016,12," 4,105,250 "," 3,905,682 "," 199,568 ", 4.9 
2017,1," 4,108,514 "," 3,915,004 "," 193,510 ", 4.7 
2017,2," 4,113,195 "," 3,924,265 "," 188,930 ", 4.6 
2017,3," 4,118,259 "," 3,931,795 "," 186,464 ", 4.5 
2017,4," 4,122,788 "," 3,936,690 "," 186,098 ", 4.5 
2017,5," 4,126,469 "," 3,939,438 "," 187,031 ", 4.5 
2017,6," 4,128,951 "," 3,940,734 "," 188,217 ", 4.6 
2017,7," 4,129,015 "," 3,940,177 "," 188,838 ", 4.6 
2017,8," 4,125,674 "," 3,937,403 "," 188,271 ", 4.6 
2017,9," 4,119,378 "," 3,933,036 "," 186,342 ", 4.5 
2017,10," 4,111,207 "," 3,927,697 "," 183,510 ", 4.5 
2017,11," 4,102,558 "," 3,921,823 "," 180,735 ", 4.4 
2017,12," 4,094,875 "," 3,916,941 "," 177,934 ", 4.3 
2018,1," 4,089,451 "," 3,914,143 "," 175,308 ", 4.3 
2018,2," 4,086,551 "," 3,913,429 "," 173,122 ", 4.2 
2018,3," 4,085,409 "," 3,914,377 "," 171,032 ", 4.2 
2018,4," 4,083,893 "," 3,915,199 "," 168,694 ", 4.1 
2018,5," 4,080,096 "," 3,913,902 "," 166,194 ", 4.1 
2018,6," 4,074,523 "," 3,910,579 "," 163,944 ", 4.0 
2018,7," 4,069,025 "," 3,906,594 "," 162,431 ", 4.0 
2018,8," 4,065,856 "," 3,903,490 "," 162,366 ", 4.0 
2018,9," 4,065,099 "," 3,900,912 "," 164,187 ", 4.0 
2018,10," 4,066,197 "," 3,898,896 "," 167,301 ", 4.1 
2018,11," 4,068,830 "," 3,898,409 "," 170,421 ", 4.2 
2018,12," 4,071,942 "," 3,899,410 "," 172,532 ", 4.2 
2019,1," 4,074,149 "," 3,901,266 "," 172,883 ", 4.2 
2019,2," 4,074,036 "," 3,903,199 "," 170,837 ", 4.2 
2019,3," 4,071,765 "," 3,904,608 "," 167,157 ", 4.1 
2019,4," 4,068,704 "," 3,906,033 "," 162,671 ", 4.0 
2019,5," 4,066,644 "," 3,908,107 "," 158,537 ", 3.9 
2019,6," 4,066,270 "," 3,910,405 "," 155,865 ", 3.8 
2019,7," 4,067,296 "," 3,912,776 "," 154,520 ", 3.8 
2019,8," 4,068,959 "," 3,915,627 "," 153,332 ", 3.8 
2019,9," 4,071,817 "," 3,920,675 "," 151,142 ", 3.7 
2019,10," 4,075,008 "," 3,926,676 "," 148,332 ", 3.6 
2019,11," 4,076,179 "," 3,930,060 "," 146,119 ", 3.6 
2019,12," 4,074,722 "," 3,928,806 "," 145,916 ", 3.6 
2020,1," 4,071,802 "," 3,923,709 "," 148,093 ", 3.6 
2020,2," 4,068,726 "," 3,916,788 "," 151,938 ", 3.7 
2020,3," 4,067,414 "," 3,911,864 "," 155,550 ", 3.8 
2020,4," 3,706,625 "," 3,129,821 "," 576,804 ", 15.6 
2020,5," 3,657,013 "," 2,923,897 "," 733,116 ", 20.0 
2020,6," 3,876,271 "," 3,148,827 "," 727,444 ", 18.8 
2020,7," 3,885,735 "," 3,166,591 "," 719,144 ", 18.5 
2020,8," 3,978,475 "," 3,389,248 "," 589,227 ", 14.8 
2020,9," 3,984,874 "," 3,400,876 "," 583,998 ", 14.7 
2020,10," 3,869,498 "," 3,406,685 "," 462,813 ", 12.0 
2020,11," 3,868,989 "," 3,405,286 "," 463,703 ", 12.0 
2020,12," 3,868,206 "," 3,403,406 "," 464,800 ", 12.0 
2021,1," 3,866,736 "," 3,378,406 "," 488,330 ", 12.6 
2021,2," 3,875,576 "," 3,376,422 "," 499,154 ", 12.9 
2021,3," 4,115,279 "," 3,635,841 "," 479,438 ", 11.7 
2021,4," 4,115,809 "," 3,648,292 "," 467,517 ", 11.4 
2021,5," 4,061,691 "," 3,620,308 "," 441,383 ", 10.9 
2021,6," 4,058,111 "," 3,627,098 "," 431,013 ", 10.6 
2021,7," 4,004,063 "," 3,585,466 "," 418,597 ", 10.5 
2021,8," 3,997,354 "," 3,590,072 "," 407,282 ", 10.2 
2021,9," 3,989,245 "," 3,599,119 "," 390,126 ", 9.8 
2021,10," 3,986,404 "," 3,612,942 "," 373,462 ", 9.4 
,,  ,  ,  ,  
,,  ,  ,  ,  
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
